date_commande;identifiant_client;montant_ttc;numero_commande;pays;canal
2024-07-11;CLI-000088;99,00;CMD-000043;FR;Meta
2024-07-12;CLI-000011;98,00;CMD-000044;FR;Influence
2024-07-12;CLI-000026;39,00;CMD-000045;IT;Meta
2024-07-12;CLI-000036;39,00;CMD-000046;FR;TikTok
2024-07-12;CLI-000076;99,00;CMD-000047;NL;Autre
2024-07-13;CLI-000004;99,00;CMD-000048;FR;Meta
2024-07-13;CLI-000022;99,00;CMD-000049;FR;Meta
2024-07-13;CLI-000027;98,00;CMD-000050;FR;TikTok
2024-07-13;CLI-000080;98,00;CMD-000051;FR;TikTok
2024-07-14;CLI-000008;98,00;CMD-000052;FR;Meta
2024-07-14;CLI-000012;74,00;CMD-000053;FR;Meta
2024-07-14;CLI-000017;74,00;CMD-000054;FR;Meta
2024-07-14;CLI-000035;74,00;CMD-000055;FR;Meta
2024-07-14;CLI-000057;39,00;CMD-000056;FR;Meta
2024-07-14;CLI-000097;29,00;CMD-000057;NL;Google
2024-07-15;CLI-000058;39,00;CMD-000058;FR;Google
2024-07-15;CLI-000078;99,00;CMD-000059;FR;Influence
2024-07-16;CLI-000053;74,00;CMD-000060;FR;Meta
2024-07-16;CLI-000086;98,00;CMD-000061;FR;Meta
2024-07-17;CLI-000073;99,00;CMD-000062;FR;Meta
2024-07-17;CLI-000089;74,00;CMD-000063;FR;Google
2024-07-18;CLI-000014;99,00;CMD-000064;FR;Meta
2024-07-18;CLI-000063;39,00;CMD-000065;FR;Meta
2024-07-18;CLI-000083;74,00;CMD-000066;DE;Influence
2024-07-19;CLI-000051;74,00;CMD-000067;FR;Meta
2024-07-19;CLI-000059;39,00;CMD-000068;FR;Google
2024-07-19;CLI-000060;123,00;CMD-000069;FR;Meta
2024-07-20;CLI-000007;99,00;CMD-000070;IT;Autre
2024-07-20;CLI-000025;74,00;CMD-000071;ES;Meta
2024-07-20;CLI-000045;99,00;CMD-000072;IT;Google
2024-07-20;CLI-000049;74,00;CMD-000073;FR;Email/SMS
2024-07-20;CLI-000055;98,00;CMD-000074;FR;Google
2024-07-21;CLI-000010;39,00;CMD-000075;FR;Meta
2024-07-21;CLI-000095;99,00;CMD-000076;FR;Meta
2024-07-22;CLI-000015;39,00;CMD-000077;FR;Meta
2024-07-22;CLI-000066;39,00;CMD-000078;FR;Meta
2024-07-22;CLI-000069;53,00;CMD-000079;DE;Influence
2024-07-22;CLI-000074;74,00;CMD-000080;FR;Meta
2024-07-22;CLI-000093;98,00;CMD-000081;FR;Google
2024-07-23;CLI-000006;99,00;CMD-000082;DE;Influence
2024-07-24;CLI-000034;63,00;CMD-000083;FR;Meta
2024-07-25;CLI-000047;74,00;CMD-000084;FR;Autre
2024-07-25;CLI-000091;74,00;CMD-000085;IT;Meta
2024-07-26;CLI-000049;-74,00;R-CMD-000073;FR;Remboursement
2024-07-26;CLI-000029;29,00;CMD-000086;IT;Meta
2024-07-26;CLI-000092;99,00;CMD-000087;FR;Meta
2024-07-27;CLI-000001;39,00;CMD-000088;DE;Google
2024-07-27;CLI-000039;39,00;CMD-000089;DE;Meta
2024-07-27;CLI-000050;63,00;CMD-000090;FR;Meta
2024-07-27;CLI-000056;39,00;CMD-000091;FR;Google
2024-07-28;CLI-000023;123,00;CMD-000092;DE;Meta
2024-07-28;CLI-000065;74,00;CMD-000093;IT;Meta
2024-07-28;CLI-000096;63,00;CMD-000094;FR;Google
2024-07-29;CLI-000024;39,00;CMD-000095;FR;Meta
2024-07-29;CLI-000030;39,00;CMD-000096;NL;Influence
2024-07-29;CLI-000085;74,00;CMD-000097;FR;Meta
2024-07-31;CLI-000018;99,00;CMD-000098;FR;TikTok
2024-07-31;CLI-000021;39,00;CMD-000099;NL;Meta
2024-07-31;CLI-000028;74,00;CMD-000100;FR;Meta
2024-08-01;CLI-000119;63,00;CMD-000101;FR;Meta
2024-08-01;CLI-000154;39,00;CMD-000102;ES;TikTok
2024-08-01;CLI-000166;39,00;CMD-000103;DE;Meta
2024-08-02;CLI-000109;39,00;CMD-000104;FR;Meta
2024-08-02;CLI-000131;63,00;CMD-000105;FR;TikTok
2024-08-02;CLI-000147;74,00;CMD-000106;FR;Meta
2024-08-03;CLI-000105;98,00;CMD-000107;FR;Meta
2024-08-03;CLI-000174;39,00;CMD-000108;FR;TikTok
2024-08-04;CLI-000103;39,00;CMD-000109;FR;Google
2024-08-04;CLI-000140;48,00;CMD-000110;FR;TikTok
2024-08-04;CLI-000158;24,00;CMD-000111;FR;Influence
2024-08-04;CLI-000179;74,00;CMD-000112;FR;TikTok
2024-08-04;CLI-000180;39,00;CMD-000113;FR;Influence
2024-08-05;CLI-000040;99,00;CMD-000114;FR;Email/SMS
2024-08-05;CLI-000160;99,00;CMD-000115;DE;Meta
2024-08-06;CLI-000019;78,00;CMD-000116;FR;Email/SMS
2024-08-06;CLI-000129;98,00;CMD-000117;DE;Meta
2024-08-06;CLI-000139;39,00;CMD-000118;FR;Meta
2024-08-06;CLI-000163;74,00;CMD-000119;IT;Meta
2024-08-06;CLI-000164;99,00;CMD-000120;FR;Meta
2024-08-06;CLI-000185;99,00;CMD-000121;IT;Google
2024-08-07;CLI-000104;39,00;CMD-000122;FR;Meta
2024-08-07;CLI-000117;99,00;CMD-000123;IT;TikTok
2024-08-07;CLI-000130;39,00;CMD-000124;FR;Meta
2024-08-07;CLI-000173;99,00;CMD-000125;FR;Meta
2024-08-07;CLI-000175;29,00;CMD-000126;FR;Meta
2024-08-07;CLI-000182;39,00;CMD-000127;FR;Meta
2024-08-08;CLI-000124;98,00;CMD-000128;FR;Influence
2024-08-08;CLI-000184;99,00;CMD-000129;BE;Meta
2024-08-09;CLI-000154;138,00;CMD-000130;ES;Email/SMS
2024-08-09;CLI-000155;99,00;CMD-000131;FR;Google
2024-08-09;CLI-000165;74,00;CMD-000132;FR;Meta
2024-08-09;CLI-000177;39,00;CMD-000133;ES;Meta
2024-08-10;CLI-000141;123,00;CMD-000134;BE;TikTok
2024-08-10;CLI-000142;29,00;CMD-000135;FR;TikTok
2024-08-10;CLI-000161;39,00;CMD-000136;FR;Meta
2024-08-10;CLI-000186;39,00;CMD-000137;FR;Google
2024-08-11;CLI-000102;99,00;CMD-000138;FR;Meta
2024-08-11;CLI-000111;39,00;CMD-000139;FR;Google
2024-08-11;CLI-000159;74,00;CMD-000140;BE;Influence
2024-08-11;CLI-000168;74,00;CMD-000141;FR;Meta
2024-08-11;CLI-000187;99,00;CMD-000142;DE;Meta
2024-08-13;CLI-000099;99,00;CMD-000143;IT;Meta retargeting
2024-08-13;CLI-000121;74,00;CMD-000144;FR;Meta
2024-08-13;CLI-000171;39,00;CMD-000145;FR;Meta
2024-08-14;CLI-000151;39,00;CMD-000146;FR;Influence
2024-08-15;CLI-000149;99,00;CMD-000147;NL;TikTok
2024-08-16;CLI-000017;138,00;CMD-000148;FR;Email/SMS
2024-08-16;CLI-000152;24,00;CMD-000149;FR;Meta
2024-08-16;CLI-000167;74,00;CMD-000150;FR;Meta
2024-08-16;CLI-000169;99,00;CMD-000151;FR;Autre
2024-08-16;CLI-000189;99,00;CMD-000152;ES;Meta
2024-08-17;CLI-000042;99,00;CMD-000153;NL;Email/SMS
2024-08-17;CLI-000049;74,00;CMD-000154;FR;Email/SMS
2024-08-17;CLI-000125;74,00;CMD-000155;FR;Meta
2024-08-17;CLI-000128;39,00;CMD-000156;DE;Influence
2024-08-17;CLI-000145;74,00;CMD-000157;FR;Meta
2024-08-18;CLI-000116;74,00;CMD-000158;BE;Meta
2024-08-18;CLI-000122;29,00;CMD-000159;FR;Meta
2024-08-19;CLI-000040;113,00;CMD-000160;FR;Email/SMS
2024-08-19;CLI-000100;39,00;CMD-000161;NL;Meta
2024-08-19;CLI-000110;39,00;CMD-000162;FR;Google
2024-08-19;CLI-000115;74,00;CMD-000163;DE;TikTok
2024-08-20;CLI-000047;74,00;CMD-000164;FR;Direct
2024-08-20;CLI-000101;29,00;CMD-000165;DE;Meta
2024-08-20;CLI-000114;99,00;CMD-000166;DE;Meta
2024-08-21;CLI-000137;39,00;CMD-000167;FR;Meta
2024-08-21;CLI-000156;74,00;CMD-000168;FR;TikTok
2024-08-21;CLI-000190;39,00;CMD-000169;FR;TikTok
2024-08-22;CLI-000123;74,00;CMD-000170;FR;TikTok
2024-08-22;CLI-000148;39,00;CMD-000171;FR;Google
2024-08-23;CLI-000133;29,00;CMD-000172;FR;TikTok
2024-08-23;CLI-000157;99,00;CMD-000173;IT;Meta
2024-08-23;CLI-000183;24,00;CMD-000174;BE;Meta
2024-08-24;CLI-000046;99,00;CMD-000175;DE;Email/SMS
2024-08-24;CLI-000113;98,00;CMD-000176;FR;Meta
2024-08-24;CLI-000138;99,00;CMD-000177;FR;Meta
2024-08-24;CLI-000188;74,00;CMD-000178;FR;Meta
2024-08-25;CLI-000112;39,00;CMD-000179;FR;Meta
2024-08-25;CLI-000144;74,00;CMD-000180;FR;Meta
2024-08-25;CLI-000150;39,00;CMD-000181;FR;Influence
2024-08-26;CLI-000139;-39,00;R-CMD-000118;FR;Remboursement
2024-08-26;CLI-000118;99,00;CMD-000182;FR;Meta
2024-08-26;CLI-000178;74,00;CMD-000183;FR;Meta
2024-08-27;CLI-000036;74,00;CMD-000184;FR;Direct
2024-08-27;CLI-000126;99,00;CMD-000185;BE;Meta
2024-08-27;CLI-000136;98,00;CMD-000186;FR;Meta
2024-08-28;CLI-000106;74,00;CMD-000187;FR;Meta
2024-08-28;CLI-000108;74,00;CMD-000188;FR;TikTok
2024-08-28;CLI-000124;99,00;CMD-000189;FR;Email/SMS
2024-08-28;CLI-000127;99,00;CMD-000190;ES;Meta
2024-08-28;CLI-000132;63,00;CMD-000191;FR;Influence
2024-08-28;CLI-000134;39,00;CMD-000192;DE;Google
2024-08-28;CLI-000135;74,00;CMD-000193;FR;Meta
2024-08-28;CLI-000143;98,00;CMD-000194;FR;Meta
2024-08-28;CLI-000162;39,00;CMD-000195;FR;Influence
2024-08-28;CLI-000170;24,00;CMD-000196;DE;Autre
2024-08-29;CLI-000101;74,00;CMD-000197;DE;Email/SMS
2024-08-29;CLI-000176;39,00;CMD-000198;FR;Google
2024-08-30;CLI-000015;39,00;CMD-000199;FR;Direct
2024-08-30;CLI-000122;24,00;CMD-000200;FR;Meta retargeting
2024-08-30;CLI-000146;74,00;CMD-000201;NL;Meta
2024-08-31;CLI-000107;74,00;CMD-000202;FR;Meta
2024-08-31;CLI-000120;99,00;CMD-000203;DE;Meta
2024-08-31;CLI-000153;39,00;CMD-000204;FR;Meta
2024-08-31;CLI-000172;63,00;CMD-000205;FR;Google
2024-08-31;CLI-000181;39,00;CMD-000206;DE;Google
2024-09-01;CLI-000030;39,00;CMD-000207;NL;Direct
2024-09-01;CLI-000045;78,00;CMD-000208;IT;Direct
2024-09-01;CLI-000191;63,00;CMD-000209;BE;Google
2024-09-01;CLI-000197;39,00;CMD-000210;FR;Meta
2024-09-01;CLI-000240;74,00;CMD-000211;FR;Meta
2024-09-01;CLI-000250;63,00;CMD-000212;FR;Influence
2024-09-01;CLI-000293;98,00;CMD-000213;FR;Influence
2024-09-02;CLI-000194;99,00;CMD-000214;FR;Influence
2024-09-02;CLI-000196;99,00;CMD-000215;FR;Meta
2024-09-02;CLI-000246;99,00;CMD-000216;FR;Meta
2024-09-02;CLI-000296;39,00;CMD-000217;FR;Meta
2024-09-02;CLI-000298;39,00;CMD-000218;FR;Autre
2024-09-03;CLI-000245;74,00;CMD-000219;FR;TikTok
2024-09-03;CLI-000263;29,00;CMD-000220;FR;Meta
2024-09-03;CLI-000268;74,00;CMD-000221;ES;Meta
2024-09-03;CLI-000278;39,00;CMD-000222;FR;Meta
2024-09-04;CLI-000210;123,00;CMD-000223;IT;Google
2024-09-04;CLI-000215;74,00;CMD-000224;DE;Google
2024-09-04;CLI-000223;39,00;CMD-000225;FR;Influence
2024-09-04;CLI-000252;74,00;CMD-000226;FR;Google
2024-09-04;CLI-000292;74,00;CMD-000227;FR;Google
2024-09-05;CLI-000020;99,00;CMD-000228;FR;Email/SMS
2024-09-05;CLI-000244;74,00;CMD-000229;DE;Meta
2024-09-05;CLI-000288;39,00;CMD-000230;FR;Google
2024-09-06;CLI-000099;113,00;CMD-000231;IT;Email/SMS
2024-09-06;CLI-000216;48,00;CMD-000232;FR;Google
2024-09-06;CLI-000249;99,00;CMD-000233;FR;Meta
2024-09-06;CLI-000258;99,00;CMD-000234;FR;Google
2024-09-06;CLI-000300;74,00;CMD-000235;FR;TikTok
2024-09-07;CLI-000138;-99,00;R-CMD-000177;FR;Remboursement
2024-09-07;CLI-000197;24,00;CMD-000236;FR;Email/SMS
2024-09-07;CLI-000200;63,00;CMD-000237;ES;TikTok
2024-09-07;CLI-000286;123,00;CMD-000238;FR;Autre
2024-09-07;CLI-000289;63,00;CMD-000239;FR;Google
2024-09-07;CLI-000291;39,00;CMD-000240;FR;TikTok
2024-09-07;CLI-000302;74,00;CMD-000241;ES;Meta
2024-09-08;CLI-000084;99,00;CMD-000242;FR;Meta retargeting
2024-09-08;CLI-000209;74,00;CMD-000243;FR;TikTok
2024-09-08;CLI-000236;99,00;CMD-000244;IT;TikTok
2024-09-08;CLI-000273;74,00;CMD-000245;FR;Meta
2024-09-08;CLI-000274;74,00;CMD-000246;FR;Meta
2024-09-09;CLI-000015;138,00;CMD-000247;FR;Direct
2024-09-09;CLI-000195;39,00;CMD-000248;FR;Meta
2024-09-09;CLI-000211;123,00;CMD-000249;FR;TikTok
2024-09-09;CLI-000224;39,00;CMD-000250;DE;Meta
2024-09-09;CLI-000228;39,00;CMD-000251;FR;TikTok
2024-09-09;CLI-000261;99,00;CMD-000252;BE;TikTok
2024-09-09;CLI-000269;39,00;CMD-000253;FR;Google
2024-09-09;CLI-000304;74,00;CMD-000254;FR;Meta
2024-09-09;CLI-000305;29,00;CMD-000255;FR;TikTok
2024-09-09;CLI-000310;74,00;CMD-000256;FR;Google
2024-09-10;CLI-000120;113,00;CMD-000257;DE;Email/SMS
2024-09-10;CLI-000203;39,00;CMD-000258;FR;Influence
2024-09-10;CLI-000230;39,00;CMD-000259;FR;Meta
2024-09-10;CLI-000233;74,00;CMD-000260;BE;Meta
2024-09-10;CLI-000264;99,00;CMD-000261;FR;Meta
2024-09-10;CLI-000312;74,00;CMD-000262;IT;Meta
2024-09-11;CLI-000193;39,00;CMD-000263;FR;Google
2024-09-11;CLI-000226;74,00;CMD-000264;ES;Meta
2024-09-11;CLI-000229;99,00;CMD-000265;FR;TikTok
2024-09-11;CLI-000243;39,00;CMD-000266;ES;Meta
2024-09-11;CLI-000282;74,00;CMD-000267;IT;Google
2024-09-11;CLI-000306;74,00;CMD-000268;FR;Meta
2024-09-12;CLI-000103;74,00;CMD-000269;FR;Email/SMS
2024-09-12;CLI-000212;39,00;CMD-000270;FR;Meta
2024-09-12;CLI-000247;123,00;CMD-000271;FR;Meta
2024-09-12;CLI-000308;63,00;CMD-000272;DE;TikTok
2024-09-13;CLI-000021;99,00;CMD-000273;NL;Meta retargeting
2024-09-13;CLI-000044;113,00;CMD-000274;BE;Meta retargeting
2024-09-13;CLI-000086;138,00;CMD-000275;FR;Meta retargeting
2024-09-13;CLI-000199;99,00;CMD-000276;FR;Google
2024-09-13;CLI-000205;29,00;CMD-000277;FR;Google
2024-09-13;CLI-000266;74,00;CMD-000278;DE;TikTok
2024-09-13;CLI-000303;39,00;CMD-000279;DE;Meta
2024-09-14;CLI-000065;138,00;CMD-000280;IT;Direct
2024-09-14;CLI-000217;99,00;CMD-000281;FR;Meta
2024-09-14;CLI-000242;74,00;CMD-000282;NL;TikTok
2024-09-14;CLI-000251;74,00;CMD-000283;FR;Meta
2024-09-14;CLI-000255;99,00;CMD-000284;DE;TikTok
2024-09-14;CLI-000256;74,00;CMD-000285;ES;Google
2024-09-14;CLI-000277;74,00;CMD-000286;FR;Meta
2024-09-15;CLI-000113;39,00;CMD-000287;FR;Email/SMS
2024-09-15;CLI-000198;39,00;CMD-000288;DE;Google
2024-09-15;CLI-000204;123,00;CMD-000289;FR;Autre
2024-09-15;CLI-000206;39,00;CMD-000290;FR;Autre
2024-09-15;CLI-000222;63,00;CMD-000291;FR;Meta
2024-09-15;CLI-000232;74,00;CMD-000292;ES;Google
2024-09-15;CLI-000237;98,00;CMD-000293;DE;TikTok
2024-09-15;CLI-000285;74,00;CMD-000294;BE;Meta
2024-09-15;CLI-000301;39,00;CMD-000295;FR;Google
2024-09-15;CLI-000309;74,00;CMD-000296;BE;Meta
2024-09-16;CLI-000060;113,00;CMD-000297;FR;Email/SMS
2024-09-16;CLI-000192;99,00;CMD-000298;ES;Meta
2024-09-16;CLI-000227;74,00;CMD-000299;FR;Meta
2024-09-16;CLI-000279;99,00;CMD-000300;ES;Google
2024-09-16;CLI-000290;24,00;CMD-000301;FR;Meta
2024-09-17;CLI-000099;-113,00;R-CMD-000231;IT;Remboursement
2024-09-17;CLI-000189;78,00;CMD-000302;ES;Direct
2024-09-17;CLI-000208;53,00;CMD-000303;FR;Meta
2024-09-17;CLI-000295;74,00;CMD-000304;FR;Meta
2024-09-17;CLI-000311;74,00;CMD-000305;DE;Google
2024-09-18;CLI-000034;99,00;CMD-000306;FR;Meta retargeting
2024-09-18;CLI-000045;78,00;CMD-000307;IT;Direct
2024-09-18;CLI-000161;74,00;CMD-000308;FR;Email/SMS
2024-09-18;CLI-000201;39,00;CMD-000309;DE;TikTok
2024-09-18;CLI-000287;39,00;CMD-000310;FR;Meta
2024-09-19;CLI-000253;99,00;CMD-000311;NL;TikTok
2024-09-19;CLI-000265;74,00;CMD-000312;FR;TikTok
2024-09-19;CLI-000284;74,00;CMD-000313;ES;Meta
2024-09-20;CLI-000231;39,00;CMD-000314;DE;Meta
2024-09-20;CLI-000241;74,00;CMD-000315;FR;Meta
2024-09-20;CLI-000276;99,00;CMD-000316;BE;TikTok
2024-09-20;CLI-000297;99,00;CMD-000317;IT;Meta
2024-09-21;CLI-000214;99,00;CMD-000318;DE;Google
2024-09-21;CLI-000217;78,00;CMD-000319;FR;Direct
2024-09-21;CLI-000239;74,00;CMD-000320;IT;Meta
2024-09-21;CLI-000271;39,00;CMD-000321;DE;Meta
2024-09-21;CLI-000272;99,00;CMD-000322;FR;Meta
2024-09-21;CLI-000283;123,00;CMD-000323;FR;Meta
2024-09-22;CLI-000207;74,00;CMD-000324;FR;Meta
2024-09-22;CLI-000234;74,00;CMD-000325;FR;Meta
2024-09-22;CLI-000259;39,00;CMD-000326;FR;Influence
2024-09-22;CLI-000267;29,00;CMD-000327;FR;Google
2024-09-22;CLI-000270;99,00;CMD-000328;DE;TikTok
2024-09-22;CLI-000302;99,00;CMD-000329;ES;Email/SMS
2024-09-23;CLI-000299;74,00;CMD-000330;BE;Google
2024-09-24;CLI-000220;39,00;CMD-000331;BE;Meta
2024-09-25;CLI-000213;123,00;CMD-000332;FR;Meta
2024-09-25;CLI-000225;39,00;CMD-000333;FR;TikTok
2024-09-25;CLI-000236;99,00;CMD-000334;IT;Email/SMS
2024-09-25;CLI-000307;39,00;CMD-000335;FR;Meta
2024-09-26;CLI-000202;99,00;CMD-000336;FR;Meta
2024-09-26;CLI-000254;53,00;CMD-000337;NL;Meta
2024-09-27;CLI-000123;138,00;CMD-000338;FR;Email/SMS
2024-09-27;CLI-000218;99,00;CMD-000339;ES;Meta
2024-09-27;CLI-000219;39,00;CMD-000340;FR;TikTok
2024-09-27;CLI-000262;98,00;CMD-000341;FR;Google
2024-09-27;CLI-000275;39,00;CMD-000342;FR;Meta
2024-09-28;CLI-000235;74,00;CMD-000343;FR;Influence
2024-09-28;CLI-000248;63,00;CMD-000344;FR;Meta
2024-09-29;CLI-000221;74,00;CMD-000345;DE;Meta
2024-09-29;CLI-000238;123,00;CMD-000346;FR;Google
2024-09-29;CLI-000260;74,00;CMD-000347;FR;TikTok
2024-09-29;CLI-000280;39,00;CMD-000348;NL;Meta
2024-09-29;CLI-000294;99,00;CMD-000349;ES;Google
2024-09-30;CLI-000257;39,00;CMD-000350;FR;TikTok
2024-09-30;CLI-000281;39,00;CMD-000351;FR;Google
2024-10-01;CLI-000045;39,00;CMD-000352;IT;Email/SMS
2024-10-01;CLI-000350;99,00;CMD-000353;FR;Meta
2024-10-01;CLI-000372;39,00;CMD-000354;FR;Meta
2024-10-01;CLI-000391;39,00;CMD-000355;BE;Meta
2024-10-01;CLI-000393;39,00;CMD-000356;FR;Meta
2024-10-01;CLI-000420;24,00;CMD-000357;FR;Google
2024-10-02;CLI-000056;99,00;CMD-000358;FR;Email/SMS
2024-10-02;CLI-000338;39,00;CMD-000359;NL;Google
2024-10-02;CLI-000343;99,00;CMD-000360;DE;Google
2024-10-02;CLI-000388;99,00;CMD-000361;DE;Google
2024-10-02;CLI-000408;99,00;CMD-000362;IT;Autre
2024-10-03;CLI-000122;113,00;CMD-000363;FR;Direct
2024-10-03;CLI-000340;74,00;CMD-000364;BE;Google
2024-10-03;CLI-000370;39,00;CMD-000365;FR;Meta
2024-10-03;CLI-000385;74,00;CMD-000366;BE;Meta
2024-10-04;CLI-000362;99,00;CMD-000367;FR;TikTok
2024-10-04;CLI-000422;99,00;CMD-000368;FR;Meta
2024-10-04;CLI-000429;48,00;CMD-000369;FR;TikTok
2024-10-05;CLI-000132;74,00;CMD-000370;FR;Direct
2024-10-05;CLI-000321;123,00;CMD-000371;BE;Meta
2024-10-05;CLI-000345;39,00;CMD-000372;FR;Meta
2024-10-05;CLI-000355;24,00;CMD-000373;FR;TikTok
2024-10-05;CLI-000361;63,00;CMD-000374;DE;Google
2024-10-05;CLI-000379;99,00;CMD-000375;FR;Meta
2024-10-06;CLI-000102;138,00;CMD-000376;FR;Meta retargeting
2024-10-06;CLI-000402;99,00;CMD-000377;IT;Meta
2024-10-06;CLI-000403;29,00;CMD-000378;IT;TikTok
2024-10-07;CLI-000076;68,00;CMD-000379;NL;Direct
2024-10-07;CLI-000090;39,00;CMD-000380;NL;Email/SMS
2024-10-07;CLI-000130;99,00;CMD-000381;FR;Email/SMS
2024-10-07;CLI-000142;99,00;CMD-000382;FR;Email/SMS
2024-10-07;CLI-000380;39,00;CMD-000383;FR;TikTok
2024-10-07;CLI-000409;74,00;CMD-000384;FR;Meta
2024-10-07;CLI-000411;39,00;CMD-000385;FR;TikTok
2024-10-07;CLI-000416;74,00;CMD-000386;FR;TikTok
2024-10-07;CLI-000417;74,00;CMD-000387;FR;Google
2024-10-08;CLI-000154;99,00;CMD-000388;ES;Email/SMS
2024-10-08;CLI-000324;74,00;CMD-000389;FR;Meta
2024-10-08;CLI-000377;39,00;CMD-000390;ES;Meta
2024-10-08;CLI-000401;99,00;CMD-000391;FR;Autre
2024-10-09;CLI-000112;99,00;CMD-000392;FR;Meta retargeting
2024-10-09;CLI-000171;39,00;CMD-000393;FR;Email/SMS
2024-10-09;CLI-000341;123,00;CMD-000394;DE;Influence
2024-10-09;CLI-000418;39,00;CMD-000395;FR;Google
2024-10-09;CLI-000428;74,00;CMD-000396;FR;Meta
2024-10-10;CLI-000109;113,00;CMD-000397;FR;Email/SMS
2024-10-10;CLI-000358;99,00;CMD-000398;NL;Google
2024-10-10;CLI-000367;29,00;CMD-000399;FR;Google
2024-10-10;CLI-000382;39,00;CMD-000400;FR;Meta
2024-10-10;CLI-000396;39,00;CMD-000401;FR;Meta
2024-10-10;CLI-000397;63,00;CMD-000402;FR;Meta
2024-10-10;CLI-000405;74,00;CMD-000403;FR;Google
2024-10-10;CLI-000423;29,00;CMD-000404;FR;Autre
2024-10-10;CLI-000424;74,00;CMD-000405;DE;Google
2024-10-11;CLI-000327;39,00;CMD-000406;ES;Meta
2024-10-11;CLI-000351;99,00;CMD-000407;FR;Autre
2024-10-11;CLI-000364;74,00;CMD-000408;FR;Google
2024-10-11;CLI-000381;39,00;CMD-000409;FR;TikTok
2024-10-11;CLI-000394;74,00;CMD-000410;FR;Meta
2024-10-11;CLI-000398;29,00;CMD-000411;FR;Google
2024-10-13;CLI-000130;99,00;CMD-000412;FR;Direct
2024-10-13;CLI-000320;99,00;CMD-000413;IT;Meta
2024-10-13;CLI-000373;39,00;CMD-000414;FR;Meta
2024-10-13;CLI-000430;123,00;CMD-000415;FR;Meta
2024-10-14;CLI-000007;74,00;CMD-000416;IT;Direct
2024-10-14;CLI-000315;39,00;CMD-000417;DE;Meta
2024-10-14;CLI-000325;39,00;CMD-000418;FR;Autre
2024-10-14;CLI-000326;63,00;CMD-000419;ES;Influence
2024-10-14;CLI-000335;99,00;CMD-000420;FR;Meta
2024-10-14;CLI-000354;74,00;CMD-000421;FR;Google
2024-10-14;CLI-000357;39,00;CMD-000422;DE;Meta
2024-10-14;CLI-000359;99,00;CMD-000423;FR;TikTok
2024-10-14;CLI-000386;74,00;CMD-000424;FR;Autre
2024-10-15;CLI-000064;74,00;CMD-000425;DE;Email/SMS
2024-10-15;CLI-000113;138,00;CMD-000426;FR;Email/SMS
2024-10-15;CLI-000279;99,00;CMD-000427;ES;Email/SMS
